name,office_full,party_full,state,district,candidate_id
NELSON KI R,House,PEOPLE OVER POLITICS,CO,3,H2CO03070
PACE SALVATORE II,House,DEMOCRATIC PARTY,CO,3,H2CO03138
CASIDA TISHA TRINETTE,House,UNKNOWN,CO,3,H2CO03146
MCMILLAN JAIME,House,UNKNOWN,CO,3,H2CO03179
WILHELM COLIN,House,DEMOCRATIC PARTY,CO,3,H2CO03195
SMITH GREGG HARRISON,House,DEMOCRATIC PARTY,CO,3,H2CO03203
DONOVAN KERRY,House,DEMOCRATIC PARTY,CO,3,H2CO03211
SANDOVAL TAFOYA SOLEDAD,House,DEMOCRATIC PARTY,CO,3,H2CO03245
ZIMMERMAN MARINA,House,REPUBLICAN PARTY,CO,3,H2CO03260
BURNETT DEBORA LYNN,House,DEMOCRATIC PARTY,CO,3,H2CO03278
RHODES KELLIE,House,DEMOCRATIC PARTY,CO,3,H2CO03286
BUERGER COLIN,House,DEMOCRATIC PARTY,CO,3,H2CO03302
SKOWRONSKI KRISTIN ELISE,House,INDEPENDENT,CO,3,H2CO03310
CORAM DON,House,REPUBLICAN PARTY,CO,3,H2CO03328
YATES SCOTT,House,DEMOCRATIC PARTY,CO,3,H2CO03336
FRISCH ADAM,House,DEMOCRATIC PARTY,CO,3,H2CO03351
BISHOPP CHARLES L,House,DEMOCRATIC PARTY,CO,4,H2CO04011
REDDER TOM,House,DEMOCRATIC PARTY,CO,4,H2CO04029
BEDINGFIELD JEFFREY THOMAS,House,REPUBLICAN PARTY,CO,4,H2CO04037
MUSGRAVE MARILYN,House,REPUBLICAN PARTY,CO,4,H2CO04045
WAAK PATRICIA ANN,House,DEMOCRATIC PARTY,CO,4,H2CO04052
MATSUNAKA STANLEY,House,DEMOCRATIC PARTY,CO,4,H2CO04060
MARTINEZ RANDOLPH R (RAY),House,REPUBLICAN PARTY,CO,4,H2CO04078
SHAFFER BRANDON,House,DEMOCRATIC PARTY,CO,4,H2CO04094
GILLILAND JOSHUA L,House,LIBERTARIAN PARTY,CO,4,H2CO04102
LEWIS BOB,House,REPUBLICAN PARTY,CO,4,H2CO04151
CRONIN THOMAS E,House,DEMOCRATIC PARTY,CO,5,H2CO05018
TOWNE ANDREW JAMES,House,REPUBLICAN PARTY,CO,5,H2CO05026
ORIEZ CHARLES,House,DEMOCRATIC PARTY,CO,5,H2CO05034
BAKER BIFF LELAND,House,LIBERTARIAN PARTY,CO,5,H2CO05042
ANDERSON DAVID C,House,NONE,CO,5,H2CO05059
PIRTLE JAMES C,House,LIBERTARIAN PARTY,CO,5,H2CO05067
BLAHA ROBERT B,House,REPUBLICAN PARTY,CO,5,H2CO05091
GOENAGA-TORRES SANTIAGO DAVID,House,DEMOCRATIC PARTY,CO,5,H2CO05141
DOWELL JEREMY J,House,DEMOCRATIC PARTY,CO,5,H2CO05158
MITCHELL CHRISTOPHER,House,CONSTITUTION PARTY,CO,5,H2CO05182
COLOMBE MICHAEL CHRISTOPHER MR,House,DEMOCRATIC PARTY,CO,5,H2CO05190
WILLIAMS DAVID,House,REPUBLICAN PARTY,CO,5,H2CO05216
HEATON ANDREW DAVID,House,REPUBLICAN PARTY,CO,5,H2CO05240
SWIGERT JOHN L JR,House,REPUBLICAN PARTY,CO,6,H2CO06016
SOTHAN NORMAN L,House,REPUBLICAN PARTY,CO,6,H2CO06024
REEVES JAMES DOYLE,House,REPUBLICAN PARTY,CO,6,H2CO06032
HOGAN STEPHEN,House,DEMOCRATIC PARTY,CO,6,H2CO06040
STEWART MACO,House,INDEPENDENT,CO,6,H2CO06057
PAULSON CHRISTOPHER ROBERT,House,REPUBLICAN PARTY,CO,6,H2CO06073
SCHAEFER DANIEL L,House,REPUBLICAN PARTY,CO,6,H2CO06081
KOLBE THOMAS A,House,DEMOCRATIC PARTY,CO,6,H2CO06099
WRIGHT LANCE,House,DEMOCRATIC PARTY,CO,6,H2CO06107
MIKLOSI JOE,House,DEMOCRATIC PARTY,CO,6,H2CO06123
POLHEMUS KATHY L,House,INDEPENDENT,CO,6,H2CO06149
MULDER ERIC,House,LIBERTARIAN PARTY,CO,6,H2CO06180
MONAHAN STEVEN EDWARD,House,REPUBLICAN PARTY,CO,6,H2CO06214
BAISLEY MARK,House,REPUBLICAN PARTY,CO,7,H2CO07014
HAGEDORN ROBERT LANER JUNIOR,House,DEMOCRATIC PARTY,CO,7,H2CO07022
FEELEY MICHAEL FRANCIS,House,DEMOCRATIC PARTY,CO,7,H2CO07030
THOMAS DAVID,House,DEMOCRATIC PARTY,CO,7,H2CO07048
ODONNELL RICK,House,REPUBLICAN PARTY,CO,7,H2CO07055
BEAUPREZ ROBERT LOUIS,House,REPUBLICAN PARTY,CO,7,H2CO07063
COORS JOSEPH JR,House,REPUBLICAN PARTY,CO,7,H2CO07121
BALL MATTHEW CHRISTIAN,House,REPUBLICAN PARTY,CO,7,H2CO07139
FAUST KYLE ALEXANDER,House,DEMOCRATIC PARTY,CO,7,H2CO07154
IMER LAUREL ANNE,House,REPUBLICAN PARTY,CO,7,H2CO07162
AADLAND ERIK,House,REPUBLICAN PARTY,CO,7,H2CO07170
ANDERSEN CARL E,House,REPUBLICAN PARTY,CO,7,H2CO07196
REICHERT TIM,House,REPUBLICAN PARTY,CO,7,H2CO07204
DEMPSEY BRAD,House,REPUBLICAN PARTY,CO,7,H2CO07212
GRAY GIULIANNA,House,REPUBLICAN PARTY,CO,8,H2CO08012
CARAVEO YADIRA,House,DEMOCRATIC PARTY,CO,8,H2CO08020
TEDESCO CHAZ,House,DEMOCRATIC PARTY,CO,8,H2CO08038
SAINE LORI A,House,REPUBLICAN PARTY,CO,8,H2CO08061
KIRKMEYER BARBARA,House,REPUBLICAN PARTY,CO,8,H2CO08079
HUMPHREY JOHNNY,House,DEMOCRATIC PARTY,CO,8,H2CO08087
KULMANN JANIFER SUZANNE,House,REPUBLICAN PARTY,CO,8,H2CO08095
ALLCORN TYLER,House,REPUBLICAN PARTY,CO,8,H2CO08103
DOUGLAS STEVE DOUGLAS,House,DEMOCRATIC PARTY,CO,8,H2CO08137
LONG TIMOTHY LOUIS,House,UNAFFILIATED,CO,8,H2CO08145
WIELAND RICHARD E,House,UNKNOWN,CT,0,H2CT00033
KENNELLY BARBARA B,House,DEMOCRATIC PARTY,CT,1,H2CT01015
HOWE COLLEEN J,House,REPUBLICAN PARTY,CT,1,H2CT01023
DIFAZIO LUCIEN,House,REPUBLICAN PARTY,CT,1,H2CT01056
FUSSCAS PETER,House,REPUBLICAN PARTY,CT,1,H2CT01064
UCCELLO ANTONINA PHYLISS,House,REPUBLICAN PARTY,CT,1,H2CT01072
KLEIN HERSCHEL A,House,REPUBLICAN PARTY,CT,1,H2CT01080
LUDGIN ROBERT FREDERICK,House,REPUBLICAN PARTY,CT,1,H2CT01106
STEELE PHILIP LEE,House,REPUBLICAN PARTY,CT,1,H2CT01114
MCDONALD MICHAEL W,House,REPUBLICAN PARTY,CT,1,H2CT01155
DECKER JOHN HENRY,House,REPUBLICAN PARTY,CT,1,H2CT01163
COREY MATTHEW M MR,House,REPUBLICAN PARTY,CT,1,H2CT01189
LEGNANI ANDREW JOSEPH,House,DEMOCRATIC PARTY,CT,1,H2CT01197
HREZI MUAD,House,DEMOCRATIC PARTY,CT,1,H2CT01205
LAZOR LAWRENCE ZIDOVSKY DR,House,REPUBLICAN PARTY,CT,1,H2CT01213
MUNSTER EDWARD W,House,REPUBLICAN PARTY,CT,2,H2CT02021
ARTHUR GLENN NEAL,House,REPUBLICAN PARTY,CT,2,H2CT02039
LEHTINEN MERJA HELEN,House,REPUBLICAN PARTY,CT,2,H2CT02047
SULLIVAN JAMES M,House,DEMOCRATIC PARTY,CT,2,H2CT02054
COLLINS GARY,House,DEMOCRATIC PARTY,CT,2,H2CT02062
FISHER SHAWN R,House,DEMOCRATIC PARTY,CT,2,H2CT02070
SPELLMAN STEVEN,House,DEMOCRATIC PARTY,CT,2,H2CT02088
BENEDICT JEFFREY R,House,DEMOCRATIC PARTY,CT,2,H2CT02096
MCNALLY SHAUN M,House,DEMOCRATIC PARTY,CT,2,H2CT02104
COURTNEY JOSEPH,House,DEMOCRATIC PARTY,CT,2,H2CT02112
COUTU CHRISTOPHER D,House,REPUBLICAN PARTY,CT,2,H2CT02138
FORMICA PAUL M.,House,REPUBLICAN PARTY,CT,2,H2CT02146
FRANCE MIKE,House,REPUBLICAN PARTY,CT,2,H2CT02161
DILIZIA ANTHONY ADELINO MR.,House,DEMOCRATIC PARTY,CT,2,H2CT02179
MORRISON BRUCE A,House,DEMOCRATIC PARTY,CT,3,H2CT03011
WARECK STEPHEN A,House,DEMOCRATIC PARTY,CT,3,H2CT03029
ELSER H RICHTER,House,REPUBLICAN PARTY,CT,3,H2CT03052
PILLSBURY CHARLES A,House,GREEN PARTY,CT,3,H2CT03060
ACEVEDO CHRISTOPHER DUFFY,House,REPUBLICAN PARTY,CT,3,H2CT03078
PACKARD STEPHEN M,House,UNKNOWN,CT,3,H2CT03086
CHAI AMY FOGELSTROM DR,House,LIBERTARIAN PARTY,CT,3,H2CT03102
DENARDIS LESLEY,House,REPUBLICAN PARTY,CT,3,H2CT03110
SCHROPFER DAVID W,House,DEMOCRATIC PARTY,CT,4,H2CT04027
MEEK CHRISTOPHER D,House,REPUBLICAN PARTY,CT,4,H2CT04043
ORNER DAVID SCOTT,House,REPUBLICAN PARTY,CT,4,H2CT04050
OBSITNIK STEPHEN,House,REPUBLICAN PARTY,CT,4,H2CT04068
STEVENSON JAYME MRS.,House,REPUBLICAN PARTY,CT,4,H2CT04134
HANLON NEAL B,House,REPUBLICAN PARTY,CT,5,H2CT05016
TABORSAK LYNN H,House,INDEPENDENT,CT,5,H2CT05032
THOMPSON MELVIN,House,DEMOCRATIC PARTY,CT,5,H2CT05040
LAWLOR JAMES J,House,DEMOCRATIC PARTY,CT,5,H2CT05057
HALBERT JACK,House,DEMOCRATIC PARTY,CT,5,H2CT05065
HEYMAN JOSEPH,House,DEMOCRATIC PARTY,CT,5,H2CT05073
RODRIGUEZ ROSITA,House,OTHER,CT,5,H2CT05099
GENGARELLY WALTER J,House,LIBERTARIAN PARTY,CT,5,H2CT05115
ROBERTI DANIEL FRANCIS,House,DEMOCRATIC PARTY,CT,5,H2CT05123
ESTY ELIZABETH,House,DEMOCRATIC PARTY,CT,5,H2CT05131
WILSON-FOLEY LISA A,House,REPUBLICAN PARTY,CT,5,H2CT05149
CLARK MICHAEL,House,REPUBLICAN PARTY,CT,5,H2CT05156
WILLIAMS MICHAEL J,House,DEMOCRATIC PARTY,CT,5,H2CT05164
DONOVAN CHRISTOPHER G,House,DEMOCRATIC PARTY,CT,5,H2CT05172
WINSLEY WAYNE ANTHONY,House,REPUBLICAN PARTY,CT,3,H2CT05180
RORABACK ANDREW,House,REPUBLICAN PARTY,CT,5,H2CT05206
LOGAN GEORGE S,House,REPUBLICAN PARTY,CT,5,H2CT05222
BOTELHO MICHELLE L,House,REPUBLICAN PARTY,CT,5,H2CT05230
FURZE MARCUS,House,DEMOCRATIC PARTY,CT,5,H2CT05248
JOHNSON NANCY L.,House,REPUBLICAN PARTY,CT,5,H2CT06014
LEONHARDT CLIFTON ANDREW,House,DEMOCRATIC PARTY,CT,6,H2CT06022
WRIGHT GARDNER E JR,House,DEMOCRATIC PARTY,CT,6,H2CT06030
CURRY WILLIAM E JR,House,DEMOCRATIC PARTY,CT,6,H2CT06048
KENNEDY BRENDAN JOSEPH,House,DEMOCRATIC PARTY,CT,6,H2CT06055
WILLIS BILL,House,DEMOCRATIC PARTY,CT,6,H2CT06063
SLASON EUGENE F JR,House,DEMOCRATIC PARTY,CT,6,H2CT06097
ECONOMU RALPH C,House,UNKNOWN,CT,6,H2CT06121
BEMBERY MARIE,House,DEMOCRATIC PARTY,DC,0,H2DC00013
EMERSON SUSAN,House,REPUBLICAN PARTY,DC,0,H2DC00054
MAJORS BRUCE,House,LIBERTARIAN PARTY,DC,0,H2DC00096
HAMILTON WENDY REV,House,DEMOCRATIC PARTY,DC,0,H2DC01011
WILLIAMS KELLY MIKEL,House,DEMOCRATIC PARTY,DC,0,H2DC01029
MAJORS BRUCE POWELL MR.,House,LIBERTARIAN PARTY,DC,0,H2DC01060
GARVIN JAMES W JR,House,REPUBLICAN PARTY,DE,0,H2DE00015
CARPER THOMAS R,House,DEMOCRATIC PARTY,DE,0,H2DE00023
RZEWNICKI JANET C,House,REPUBLICAN PARTY,DE,0,H2DE00064
CASTLE MICHAEL N,House,REPUBLICAN PARTY,DE,0,H2DE00072
WOO S B,House,DEMOCRATIC PARTY,DE,0,H2DE00080
ERCOLE ERNEST LEWIS,House,DEMOCRATIC PARTY,DE,0,H2DE00098
RICHARDSON BRYANT L,House,REPUBLICAN PARTY,DE,0,H2DE00106
BIENER STEVEN LOUIS,House,DEMOCRATIC PARTY,DE,0,H2DE00122
KOVACH THOMAS H,House,REPUBLICAN PARTY,DE,0,H2DE00130
BURNHAM ROBERT,House,DEMOCRATIC PARTY,DE,1,H2DE01013
MARIN BAYARD,House,DEMOCRATIC PARTY,DE,1,H2DE01021
WITHROW JAMES RAY,House,REPUBLICAN PARTY,DE,0,H2DE33016
BERKOWITZ MAURICE,House,REPUBLICAN PARTY,FL,16,H2FL00011
MOFFITT KAREN A,House,DEMOCRATIC PARTY,FL,10,H2FL00037
CANADY CHARLES T,House,REPUBLICAN PARTY,FL,12,H2FL00045
COOPER KENNETH D,House,DEMOCRATIC PARTY,FL,22,H2FL00060
WALSH JOHN RICHARD,House,REPUBLICAN PARTY,FL,0,H2FL00078
PETERSEN JON RICHARD,House,INDEPENDENT,FL,0,H2FL00086
O'REILLY FRANK,House,DEMOCRATIC PARTY,FL,12,H2FL00128
WOODS ALAN LAWRENCE,House,INDEPENDENT,FL,23,H2FL00144
WEIDNER DONALD WARREN,House,REPUBLICAN PARTY,FL,3,H2FL00151
ANASTASIO JOHN J,House,REPUBLICAN PARTY,FL,16,H2FL00177
KENNEDY BEVERLY,House,REPUBLICAN PARTY,FL,19,H2FL00193
METZ LARRY,House,REPUBLICAN PARTY,FL,19,H2FL00201
THOMAS DAVID LAMAR,House,REPUBLICAN PARTY,FL,13,H2FL00219
JONES DONALD MARVIN,House,DEMOCRATIC PARTY,FL,17,H2FL00235
FEENEY TOM,House,REPUBLICAN PARTY,FL,24,H2FL00250
BETANCOURT ANNIE,House,DEMOCRATIC PARTY,FL,25,H2FL00268
DIAZ EDDIE,House,DEMOCRATIC PARTY,FL,8,H2FL00276
KREEGEL PAIGE VANIER,House,REPUBLICAN PARTY,FL,19,H2FL00284
BRONSON WILLIAM EMERY,House,DEMOCRATIC PARTY,FL,17,H2FL00300
BECHTOL TERRYL,House,REPUBLICAN PARTY,FL,1,H2FL01019
BANJANIN TOM,House,REPUBLICAN PARTY,FL,1,H2FL01027
CONNOLLY RICHARD PAUL,House,INDEPENDENT,FL,1,H2FL01043
KELLER HARRY B,House,DEMOCRATIC PARTY,FL,1,H2FL01050
PADGETT ERNEST L JR,House,DEMOCRATIC PARTY,FL,1,H2FL01076
RODGERS-HENDRICKS BARBARA ANN,House,UNKNOWN,FL,1,H2FL01084
KNEPPER RANDOLPH LEROY,House,REPUBLICAN PARTY,FL,1,H2FL01092
MILLER JEFFERSON B.,House,REPUBLICAN PARTY,FL,1,H2FL01100
LYNCH WILLIAM CHARLES,House,DEMOCRATIC PARTY,FL,1,H2FL01118
BRIESE STEVE,House,DEMOCRATIC PARTY,FL,1,H2FL01126
FRANCISCO MICHAEL CABELL,House,REPUBLICAN PARTY,FL,1,H2FL01134
PAPPAS ROBERT LAWRENCE,House,REPUBLICAN PARTY,FL,1,H2FL01142
REVELL KENNETH WAYNE,House,REPUBLICAN PARTY,FL,1,H2FL01159
RALLS JOHN GREEL JR,House,UNKNOWN,FL,1,H2FL01175
ORAM ALBERT F JR,House,DEMOCRATIC PARTY,FL,1,H2FL01183
FRETTS CALEN,House,LIBERTARIAN PARTY,FL,1,H2FL01191
DRUMMOND WILLIAM CLEAVE II,House,REFORM PARTY,FL,2,H2FL01209
JONES REBEKAH,House,DEMOCRATIC PARTY,FL,1,H2FL01233
JONES BRYAN CHRISTOPHER,House,REPUBLICAN PARTY,FL,1,H2FL01241
SCHILLER MARGARET ANN MS,House,DEMOCRATIC PARTY,FL,1,H2FL01258
LOMBARDO MARK,House,REPUBLICAN PARTY,FL,1,H2FL01282
MCNEIL RONALD A,House,REPUBLICAN PARTY,FL,2,H2FL02017
COX ALLEN JAMES JR,House,DEMOCRATIC PARTY,FL,2,H2FL02025
SKINNER SHERRILL NATHAN,House,DEMOCRATIC PARTY,FL,2,H2FL02033
"SMITH WILLIAM A ""BUSTER""",House,DEMOCRATIC PARTY,FL,2,H2FL02058
WAGNER RAYMOND WALTER,House,REPUBLICAN PARTY,FL,2,H2FL02066
MCGURK THOMAS D,House,REPUBLICAN PARTY,FL,2,H2FL02074
ARGENZIANO NANCY,House,INDEPENDENT,FL,2,H2FL02082
PETERS ALVIN L,House,DEMOCRATIC PARTY,FL,2,H2FL02090
LILES ANDREW JAY,House,DEMOCRATIC PARTY,FL,2,H2FL02108
BEMBRY LEONARD LEE,House,DEMOCRATIC PARTY,FL,2,H2FL02116
SCHLAKMAN MARK,House,DEMOCRATIC PARTY,FL,2,H2FL02124
BROOKS LINDA SUSAN MS.,House,NO PARTY AFFILIATION,FL,2,H2FL02140
GRIMSLEY GEORGE CLAUDE,House,REPUBLICAN PARTY,FL,3,H2FL03015
KELLEY STEPHEN W,House,REPUBLICAN PARTY,FL,3,H2FL03023
MILLS GLENNIE,House,DEMOCRATIC PARTY,FL,3,H2FL03031
BROWN CORRINE,House,DEMOCRATIC PARTY,FL,5,H2FL03056
GIRARDEAU ARNETT ELYSUS,House,DEMOCRATIC PARTY,FL,3,H2FL03064
"JOHNSON ANDREW E ""ANDY""",House,DEMOCRATIC PARTY,FL,3,H2FL03072
GRIMSLEY GEORGE CLAUDE,House,REPUBLICAN PARTY,FL,3,H2FL03080
HARMS BOB,House,REPUBLICAN PARTY,FL,3,H2FL03098
WRIGHT ISHAH LAURAH,House,REPUBLICAN PARTY,FL,3,H2FL03106
DODDS PHILIP BENJAMIN,House,DEMOCRATIC PARTY,FL,3,H2FL03130
HAWK DANIELLE NICOLE,House,DEMOCRATIC PARTY,FL,3,H2FL03163
WATERS JUSTIN JAMES MR.,House,REPUBLICAN PARTY,FL,3,H2FL03189
ASENSIO MANUEL P,House,REPUBLICAN PARTY,FL,3,H2FL03197
DAVIS DAVID LEE,House,DEMOCRATIC PARTY,FL,4,H2FL04013
HUGHES REID,House,DEMOCRATIC PARTY,FL,4,H2FL04021
GAUDET LARRY NELSON,House,REPUBLICAN PARTY,FL,4,H2FL04039
WEBSTER DANIEL J,House,DEMOCRATIC PARTY,FL,7,H2FL04054
FOWLER TILLIE K,House,REPUBLICAN PARTY,FL,4,H2FL04070
HAIR MATTOX S,House,DEMOCRATIC PARTY,FL,4,H2FL04088
KLAUDER JAMES R,House,REPUBLICAN PARTY,FL,4,H2FL04112
BLACK BOB (ROBERT HARRISON BLACK),House,REPUBLICAN PARTY,FL,4,H2FL04120
GARNER-LOPEZ LEIGHA LUNA,House,REPUBLICAN PARTY,FL,5,H2FL04146
FISCHER JASON,House,REPUBLICAN PARTY,FL,4,H2FL04187
HILL ANTHONY TONY,House,DEMOCRATIC PARTY,FL,4,H2FL04195
MACIE MARA HEATHER,House,REPUBLICAN PARTY,FL,5,H2FL04203
BEAN AARON P.,House,REPUBLICAN PARTY,FL,4,H2FL04211
BRIGHT ROSE ANN,House,REPUBLICAN PARTY,FL,5,H2FL05010
"KISER S CURTIS ""CURT""",House,REPUBLICAN PARTY,FL,9,H2FL05028
BATCHELOR DICK J,House,DEMOCRATIC PARTY,FL,5,H2FL05036
KOTVAS JOSEPH HENRY,House,DEMOCRATIC PARTY,FL,9,H2FL05044
O'NEAL RICHARD DEAN,House,REPUBLICAN PARTY,FL,5,H2FL05051
KOVALESKI CHARLES J,House,DEMOCRATIC PARTY,FL,8,H2FL05069
SHINROCK RUSSELL LLOYD,House,REPUBLICAN PARTY,FL,5,H2FL05077
KEITH WILLIAM EUGENE,House,REPUBLICAN PARTY,FL,5,H2FL05093
HOGAN THOMAS S JR,House,REPUBLICAN PARTY,FL,5,H2FL05101
MUNKITTRICK CINDY,House,INDEPENDENT,FL,5,H2FL05119
BROWN-WAITE VIRGINIA,House,REPUBLICAN PARTY,FL,5,H2FL05127
GESSNER DONALD R,House,REPUBLICAN PARTY,FL,5,H2FL05135
MOORE BRIAN PATRICK,House,DEMOCRATIC PARTY,FL,5,H2FL05143
CHUBA JON,House,REPUBLICAN PARTY,FL,4,H2FL05200
HEINE RANDOLPH ALFRED,House,REPUBLICAN PARTY,FL,6,H2FL06018
HAVILL EDWARD E,House,REPUBLICAN PARTY,FL,6,H2FL06026
MACKAY BUDDY,House,DEMOCRATIC PARTY,FL,6,H2FL06034
SNYDER M J MIKE,House,REPUBLICAN PARTY,FL,6,H2FL06042
STRANGE MARION COLLINS,House,REPUBLICAN PARTY,FL,6,H2FL06059
THURMAN KAREN L,House,DEMOCRATIC PARTY,FL,5,H2FL06067
OLSEN RICHARD,House,INDEPENDENT,FL,6,H2FL06075
DENTON PHILIP A,House,DEMOCRATIC PARTY,FL,6,H2FL06083
BRUDERLY DAVID EDWARD,House,DEMOCRATIC PARTY,FL,4,H2FL06091
YOHO THEODORE SCOTT,House,REPUBLICAN PARTY,FL,3,H2FL06109
OELRICH STEPHEN M,House,REPUBLICAN PARTY,FL,3,H2FL06117
JETT JAMES,House,REPUBLICAN PARTY,FL,3,H2FL06125
CLARK RICHARD ANDREW,House,REPUBLICAN PARTY,FL,6,H2FL06133
COSTELLO FREDRICK WILLIAM,House,REPUBLICAN PARTY,FL,6,H2FL06158
KOGUT WILLIAM B,House,REPUBLICAN PARTY,FL,6,H2FL06182
SHELDON GEORGE HENRY,House,DEMOCRATIC PARTY,FL,2,H2FL07016
AYERS KEN,House,REPUBLICAN PARTY,FL,7,H2FL07024
GOWEN KEVIN R SR,House,REPUBLICAN PARTY,FL,11,H2FL07032
WILSON JIM,House,REPUBLICAN PARTY,FL,7,H2FL07040
SHARPE MARK,House,REPUBLICAN PARTY,FL,11,H2FL07057
GRAHAM DICK,House,REPUBLICAN PARTY,FL,7,H2FL07065
PERRY ADRIENNE M,House,DEMOCRATIC PARTY,FL,7,H2FL07073
FORREST VAUGHN S,House,REPUBLICAN PARTY,FL,7,H2FL07081
HOGAN WAYNE,House,DEMOCRATIC PARTY,FL,7,H2FL07107
VERMA VIPIN,House,DEMOCRATIC PARTY,FL,6,H2FL07115
KENDALL JASON H,House,DEMOCRATIC PARTY,FL,6,H2FL07123
LIGGETT JEREMY,House,REPUBLICAN PARTY,FL,7,H2FL07149
MILLS CORY,House,REPUBLICAN PARTY,FL,7,H2FL07156
DUKE BRADY,House,REPUBLICAN PARTY,FL,7,H2FL07164
CAVAGNA JOSEPH,House,REPUBLICAN PARTY,FL,7,H2FL07172
BENFIELD ERIKA,House,REPUBLICAN PARTY,FL,7,H2FL07180
LE TUAN A,House,REPUBLICAN PARTY,FL,10,H2FL07198
MCGOVERN KEVIN JOHN,House,REPUBLICAN PARTY,FL,15,H2FL07206
STURGILL SCOTT,House,REPUBLICAN PARTY,FL,7,H2FL07214
PASTRANA ALLEK,House,DEMOCRATIC PARTY,FL,7,H2FL07230
KRULICK AL MR.,House,DEMOCRATIC PARTY,FL,7,H2FL07255
ROBERTS RUSSELL L. MR.,House,REPUBLICAN PARTY,FL,7,H2FL07263
SANTOS AL,House,REPUBLICAN PARTY,FL,7,H2FL07271
FERNANDEZ HLSIA TATIANA,House,DEMOCRATIC PARTY,FL,7,H2FL07289
EDWARDS TED,House,REPUBLICAN PARTY,FL,7,H2FL07297
GARDNER JAMES ANDREW,House,REPUBLICAN PARTY,FL,13,H2FL08014
"HOFFMAN BERNARD BENJAMIN ""BEN""",House,DEMOCRATIC PARTY,FL,8,H2FL08030
MICA JOHN L. MR.,House,REPUBLICAN PARTY,FL,7,H2FL08055
DEMINGS VALDEZ 'VAL',House,DEMOCRATIC PARTY,FL,10,H2FL08063
GILLMOR RICHARD H,House,UNKNOWN,FL,8,H2FL08071
WELLS PATRICK LEE,House,REPUBLICAN PARTY,FL,8,H2FL08089
TERRY JOANNE R,House,DEMOCRATIC PARTY,FL,8,H2FL08105
DODGE DANELLE,House,DEMOCRATIC PARTY,FL,8,H2FL08121
GREEN KAREN REV. DR.,House,DEMOCRATIC PARTY,FL,7,H2FL08139
BILIRAKIS MICHAEL,House,REPUBLICAN PARTY,FL,9,H2FL09012
RYALS JOHN LESLEY,House,DEMOCRATIC PARTY,FL,9,H2FL09020
LE CHER CHARLES F,House,REPUBLICAN PARTY,FL,9,H2FL09038
BETZ GARY L,House,DEMOCRATIC PARTY,FL,9,H2FL09046
"MUSCARELLA PATRICIA A ""TRISH""",House,REPUBLICAN PARTY,FL,9,H2FL09061
KALOGIANIS CHUCK,House,DEMOCRATIC PARTY,FL,9,H2FL09079
SNOW JONATHAN MICHAEL,House,DEMOCRATIC PARTY,FL,12,H2FL09103
NIEVES MIGUEL A,House,NONE,FL,9,H2FL09111
QUINONES JOHN,House,REPUBLICAN PARTY,FL,9,H2FL09129
PARKER KEVIN COPELAND,House,DEMOCRATIC PARTY,FL,9,H2FL09186
SHEPHERD GEORGE,House,REPUBLICAN PARTY,FL,18,H2FL09194
MOORE SCOTTY,House,REPUBLICAN PARTY,FL,9,H2FL09228
ANTHONY MARLIN DANIEL,House,REPUBLICAN PARTY,FL,9,H2FL09251
MORALES ADIANIS,House,REPUBLICAN PARTY,FL,9,H2FL09277
NELSON RICHARD T,House,REPUBLICAN PARTY,FL,13,H2FL10010
KOEHLER DENNIS P,House,DEMOCRATIC PARTY,FL,12,H2FL10028
MOORE REID,House,REPUBLICAN PARTY,FL,14,H2FL10036
NUCKOLLS HUGH PAUL,House,REPUBLICAN PARTY,FL,13,H2FL10044
MACK CONNIE,House,REPUBLICAN PARTY,FL,14,H2FL10051
WORDEN ALFRED M,House,REPUBLICAN PARTY,FL,12,H2FL10069
MIMS WILLIAM THOMAS (TOM),House,DEMOCRATIC PARTY,FL,12,H2FL10085
SNELL RANDOLPH R,House,DEMOCRATIC PARTY,FL,13,H2FL10093
BAKER BRAD,House,REPUBLICAN PARTY,FL,13,H2FL10101
MILLER DAN,House,REPUBLICAN PARTY,FL,13,H2FL10119
SAUITSHAS TED,House,DEMOCRATIC PARTY,FL,10,H2FL10135
AYRES DARREN L,House,REPUBLICAN PARTY,FL,13,H2FL10143
EHRLICH JESSICA D,House,DEMOCRATIC PARTY,FL,13,H2FL10150
JACKSON NATALIE,House,DEMOCRATIC PARTY,FL,10,H2FL10184
AYALA ARAMIS,House,DEMOCRATIC PARTY,FL,10,H2FL10192
BRACY RANDOLPH,House,DEMOCRATIC PARTY,FL,10,H2FL10200
ACHENBACH JACK JOSEPH,House,DEMOCRATIC PARTY,FL,10,H2FL10218
GRAY TERENCE R MR. I,House,DEMOCRATIC PARTY,FL,10,H2FL10226
TACHON TERESA DR.,House,DEMOCRATIC PARTY,FL,10,H2FL10234
FROST MAXWELL ALEJANDRO,House,DEMOCRATIC PARTY,FL,10,H2FL10259
RAMBARANSINGH MAHENDRANATH TROY,House,REPUBLICAN PARTY,FL,10,H2FL10267
KING WILLIAM,House,REPUBLICAN PARTY,FL,10,H2FL10275
WIMBISH CALVIN B MR,House,REPUBLICAN PARTY,FL,10,H2FL10283
HOLIC JASON KYLE,House,NONE,FL,10,H2FL10291
BOONE JEFFREY MR.,House,DEMOCRATIC PARTY,FL,10,H2FL10309
WEED PETER,House,REPUBLICAN PARTY,FL,10,H2FL10317
